f	gamma
552.0	0.017157331025837094
553.0	0.01736658123891912
554.0	0.01756155197222966
555.0	0.017742146953980943
556.0	0.01790828111157821
557.0	0.018059880602808588
558.0	0.018196882838559258
559.0	0.018319236497065582
560.0	0.01842690152969506
561.0	0.018519849158280952
562.0	0.01859806186402421
563.0	0.018661533367989643
564.0	0.018710268603227827
565.0	0.018744283678561218
566.0	0.018763605834078288
567.0	0.018768273388386224
568.0	0.018758335677678838
569.0	0.018733852986681735
570.0	0.018694896471544
571.0	0.018641548074750006
572.0	0.018573900432132355
573.0	0.01849205677207172
574.0	0.01839613080697556
575.0	0.018286246617133184
576.0	0.01816253852705032
577.0	0.018025150974371545
578.0	0.017874238371505008
579.0	0.017709964960068013
580.0	0.017532504658278627
581.0	0.017342040901422398
582.0	0.017138766475529265
583.0	0.016922883344399245
584.0	0.016694602470122565
585.0	0.01645414362724137
586.0	0.016201735210708283
587.0	0.015937614037798097
588.0	0.015662025144136057
589.0	0.015375221574008276
590.0	0.015077464165124666
591.0	0.014769021328009406
592.0	0.014450168820195966
593.0	0.01412118951540934
594.0	0.01378237316791958
595.0	0.01343401617225617
596.0	0.013076421318474045
597.0	0.012709897543166555
598.0	0.012334759676422327
599.0	0.011951328184927276
600.0	0.011559928911413279
601.0	0.01116089281066024
602.0	0.010754555682258277
603.0	0.010341257900339271
604.0	0.00992134414049108
605.0	0.009495163104065282
606.0	0.009063067240095597
607.0	0.00862541246504207
608.0	0.008182557880579153
609.0	0.007734865489646511
610.0	0.007282699910981565
611.0	0.006826428092355308
612.0	0.006366419022731417
613.0	0.005903043443571072
614.0	0.005436673559503884
615.0	0.004967682748588377
616.0	0.004496445272382455
617.0	0.004023335986046024
618.0	0.003548730048696427
619.0	0.0030730026342376945
620.0	0.0025965286428823718
621.0	0.0021196824135858447
622.0	0.0016428374376103332
623.0	0.0011663660734341419
624.0	0.0006906392632235366
625.0	0.00021602625107752967
626.0	-0.0002571056967396513
627.0	-0.0007283915693713158
628.0	-0.0011974688865360535
629.0	-0.0016639779710867966
630.0	-0.002127562218757595
631.0	-0.002587868364896436
632.0	-0.0030445467479881484
633.0	-0.0034972515697696124
634.0	-0.003945641151747935
635.0	-0.0043893781879302055
636.0	-0.004828129993580288
637.0	-0.005261568749819525
638.0	-0.005689371743893486
639.0	-0.0061112216049274805
640.0	-0.006526806535001895
641.0	-0.0069358205353773975
642.0	-0.007337963627708545
643.0	-0.007732942070084127
644.0	-0.0081204685677415
645.0	-0.008500262478302241
646.0	-0.008872050011383883
647.0	-0.009235564422445358
648.0	-0.00959054620073033
649.0	-0.009936743251174208
650.0	-0.010273911070149822
651.0	-0.010601812914927842
652.0	-0.010920219966734758
653.0	-0.011228911487297585
654.0	-0.0115276749687663
655.0	-0.011816306276914879
656.0	-0.012094609787522139
657.0	-0.012362398515843578
658.0	-0.012619494239087562
659.0	-0.01286572761181747
660.0	-0.013100938274203814
661.0	-0.013324974953059674
662.0	-0.013537695555595152
663.0	-0.013738967255834825
664.0	-0.01392866657364643
665.0	-0.014106679446335204
666.0	-0.014272901292764326
667.0	-0.014427237069967676
668.0	-0.014569601322227175
669.0	-0.014699918222591809
670.0	-0.014818121606823264
671.0	-0.014924154999756882
672.0	-0.01501797163407428
673.0	-0.015099534461488366
674.0	-0.015168816156348762
675.0	-0.015225799111680479
676.0	-0.015270475427674627
677.0	-0.015302846892656617
678.0	-0.015322924956561962
679.0	-0.015330730696956106
680.0	-0.01532629477764064
681.0	-0.015309657399893229
682.0	-0.015280868246395046
683.0	-0.01523998641790434
684.0	-0.015187080362740798
685.0	-0.015122227799150347
686.0	-0.015045515630626113
687.0	-0.01495703985426592
688.0	-0.014856905462252124
689.0	-0.014745226336545235
690.0	-0.014622125136887142
691.0	-0.01448773318221548
692.0	-0.014342190325594773
693.0	-0.014185644822776134
694.0	-0.014018253194500402
695.0	-0.013840180082665696
696.0	-0.013651598100483987
697.0	-0.013452687676756225
698.0	-0.013243636894399885
699.0	-0.013024641323366105
700.0	-0.012795903848089813
701.0	-0.01255763448961731
702.0	-0.012310050222562876
703.0	-0.012053374787046201
704.0	-0.011787838495769906
705.0	-0.01151367803639599
706.0	-0.011231136269387543
707.0	-0.010940462021480546
708.0	-0.010641909874958378
709.0	-0.010335739952901716
710.0	-0.0100222177005894
711.0	-0.009701613663230517
712.0	-0.009374203260207612
713.0	-0.009040266556016672
714.0	-0.008700088028088047
715.0	-0.008353956331677907
716.0	-0.008002164062019848
717.0	-0.00764500751392809
718.0	-0.007282786439046561
719.0	-0.006915803800938406
720.0	-0.006544365528212593
721.0	-0.0061687802658841875
722.0	-0.005789359125167934
723.0	-0.005406415431904173
724.0	-0.005020264473816989
725.0	-0.004631223246804362
726.0	-0.004239610200463373
727.0	-0.0038457449830497344
728.0	-0.003449948186073819
729.0	-0.0030525410887337484
730.0	-0.002653845402387684
731.0	-0.002254183015264524
732.0	-0.0018538757376132084
733.0	-0.0014532450474910887
734.0	-0.0010526118373877771
735.0	-0.0006522961618835516
736.0	-0.00025261698653743594
737.0	0.00014610806179960714
738.0	0.0005435629430534602
739.0	0.0009394334501859866
740.0	0.0013334074534535154
741.0	0.0017251751424783876
742.0	0.0021144292659455236
743.0	0.0025008653687428307
744.0	0.0028841820263614494
745.0	0.0032640810763789746
746.0	0.003640267846847601
747.0	0.004012451381415916
748.0	0.004380344661011639
749.0	0.004743664821918391
750.0	0.0051021333700828056
751.0	0.005455476391489919
752.0	0.005803424758449478
753.0	0.006145714331638248
754.0	0.006482086157749119
755.0	0.006812286662598514
756.0	0.007136067839550066
757.0	0.0074531874331148955
758.0	0.00776340911759436
759.0	0.008066502670632796
760.0	0.008362244141555404
761.0	0.008650416014367956
762.0	0.008930807365300691
763.0	0.009203214014783044
764.0	0.009467438673740487
765.0	0.009723291084110196
766.0	0.009970588153474617
767.0	0.010209154083720159
768.0	0.010438820493630225
769.0	0.010659426535329178
770.0	0.010870819004496145
771.0	0.011072852444275317
772.0	0.011265389242813013
773.0	0.011448299724356951
774.0	0.0116214622338589
775.0	0.011784763215026998
776.0	0.011938097281778992
777.0	0.012081367283053188
778.0	0.012214484360939575
779.0	0.012337368002097834
780.0	0.012449946082435869
781.0	0.012552154905026494
782.0	0.012643939231246131
783.0	0.012725252305124316
784.0	0.012796055870898672
785.0	0.012856320183774693
786.0	0.012906024013895819
787.0	0.012945154643534261
788.0	0.012973707857518241
789.0	0.01299168792691697
790.0	0.012999107586009789
791.0	0.01299598800257129
792.0	0.012982358741509319
793.0	0.012958257721898084
794.0	0.012923731167453632
795.0	0.012878833550504357
796.0	0.012823627529513718
797.0	0.012758183880218068
798.0	0.012682581420446605
799.0	0.012596906928696344
800.0	0.012501255056538705
801.0	0.012395728234940156
802.0	0.012280436574582942
803.0	0.012155497760277913
804.0	0.012021036939564234
805.0	0.011877186605596793
806.0	0.011724086474425683
807.0	0.0115618833567763
808.0	0.01139073102444351
809.0	0.011210790071415993
810.0	0.011022227769852917
811.0	0.010825217921036707
812.0	0.010619940701431591
813.0	0.010406582503978872
814.0	0.010185335774766104
815.0	0.009956398845208426
816.0	0.009719975759885348
817.0	0.009476276100177879
818.0	0.009225514803855634
819.0	0.008967911980765544
820.0	0.008703692724776052
821.0	0.008433086922135288
822.0	0.008156329056401665
823.0	0.007873658010110885
824.0	0.007585316863342199
825.0	0.007291552689351912
